Feb 24 2017	1256.90
Feb 23 2017	1250.20
Feb 22 2017	1232.00
Feb 21 2017	1237.50
Feb 20 2017	1238.20
Feb 19 2017	1237.30
Feb 17 2017	1237.60
Feb 16 2017	1240.00
Feb 15 2017	1231.70
Feb 14 2017	1223.90
Feb 13 2017	1224.40
Feb 10 2017	1234.40
Feb 09 2017	1235.10
Feb 08 2017	1237.60
Feb 07 2017	1234.20
Feb 06 2017	1230.00
Feb 03 2017	1218.50
Feb 02 2017	1216.70
Feb 01 2017	1205.60
Jan 31 2017	1208.60
Jan 30 2017	1193.20
Jan 27 2017	1188.10
Jan 26 2017	1189.50
Jan 25 2017	1197.30
Jan 24 2017	1210.30
Jan 23 2017	1215.00
Jan 20 2017	1204.30
Jan 19 2017	1200.90
Jan 18 2017	1211.30
Jan 17 2017	1212.00
Jan 16 2017	1202.85
Jan 15 2017	1203.35
Jan 13 2017	1195.30
Jan 12 2017	1198.90
Jan 11 2017	1195.60
Jan 10 2017	1184.20
Jan 09 2017	1183.50
Jan 06 2017	1171.90
Jan 05 2017	1179.70
Jan 04 2017	1163.80
Jan 03 2017	1160.40
Jan 02 2017	1151.05
